genre,row,col,mean_probability_delta
History,1,2,-0.0038430150598287582
History,1,3,-0.0014709779061377048
History,2,0,0.005936018191277981
History,2,1,-0.0026263566687703133
History,2,2,-0.005945076234638691
History,2,3,0.00480414554476738
History,3,0,-0.0021881279535591602
History,3,1,0.0023732141125947237
History,3,2,0.008389498107135296
History,3,3,0.0002346129040233791
Music,0,0,0.001626332988962531
Music,0,1,0.016072219237685204
Music,0,2,0.009855479933321476
Music,0,3,0.0029168357141315937
Music,1,0,0.0006737414514645934
Music,1,1,0.0028436125721782446
Music,1,2,0.01106103416532278
Music,1,3,0.0024245071690529585
Music,2,0,0.006922569591552019
Music,2,1,0.008724748156964779
Music,2,2,0.01859503611922264
Music,2,3,0.0012098777806386352
Music,3,0,0.0033294297754764557
Music,3,1,0.014492123387753963
Music,3,2,0.012771439738571644
Music,3,3,0.00860506109893322
Animation,0,0,0.0020111529156565666
Animation,0,1,-0.005740043707191944
Animation,0,2,-0.004250505473464727
Animation,0,3,-0.010165678337216377
Animation,1,0,0.025134917348623276
Animation,1,1,0.04736702889204025
Animation,1,2,0.047189243137836456
Animation,1,3,0.010284333489835262
Animation,2,0,0.028127890080213547
Animation,2,1,0.02404850721359253
Animation,2,2,0.054542459547519684
Animation,2,3,0.020475959405303
Animation,3,0,0.048097897320985794
Animation,3,1,0.06062685698270798
Animation,3,2,0.07319081574678421
Animation,3,3,0.04238104075193405
Musical,0,0,0.0018631024286150932
Musical,0,1,0.0076786186546087265
Musical,0,2,0.009354512207210064
Musical,0,3,-0.0046782479621469975
Musical,1,0,0.010425032116472721
Musical,1,1,0.038969092071056366
Musical,1,2,0.044680170714855194
Musical,1,3,0.009105983190238476
Musical,2,0,0.016888447105884552
Musical,2,1,0.02659008465707302
Musical,2,2,0.05191460996866226
Musical,2,3,0.008887817151844501
Musical,3,0,0.0253642238676548
Musical,3,1,0.04118599742650986
Musical,3,2,0.03714723140001297
Musical,3,3,0.017724482342600822
Western,0,0,-0.003015166148543358
Western,0,1,0.012163998559117317
Western,0,2,-0.005295298993587494
Western,0,3,-0.005129847209900618
Western,1,0,0.010415209457278252
Western,1,1,0.03839418664574623
Western,1,2,0.0318555012345314
Western,1,3,-0.00013509619748219848
Western,2,0,0.016814490780234337
Western,2,1,0.039165787398815155
Western,2,2,0.03458544611930847
Western,2,3,0.009149889461696148
Western,3,0,0.0049035134725272655
Western,3,1,0.03074032813310623
Western,3,2,0.006559566128998995
Western,3,3,0.011379363015294075
Sport,0,0,0.008423654362559319
Sport,0,1,0.0032785842195153236
Sport,0,2,0.007733965292572975
Sport,0,3,0.010861309245228767
Sport,1,0,0.00899730995297432
Sport,1,1,0.033109236508607864
Sport,1,2,0.032920874655246735
Sport,1,3,0.014336131513118744
Sport,2,0,0.012615082785487175
Sport,2,1,0.040094949305057526
Sport,2,2,0.0442349836230278
Sport,2,3,0.019641874358057976
Sport,3,0,0.01698906533420086
Sport,3,1,0.025997454300522804
Sport,3,2,0.026394367218017578
Sport,3,3,0.020242244005203247
Short,0,0,-0.04374957084655762
Short,0,1,-0.04193468391895294
Short,0,2,-0.044078975915908813
Short,0,3,-0.028149932622909546
Short,1,0,-0.010535596869885921
Short,1,1,-0.010903401300311089
Short,1,2,-0.012306122109293938
Short,1,3,-0.006592536810785532
Short,2,0,-0.015493128448724747
Short,2,1,0.008256159722805023
Short,2,2,-0.0073050581850111485
Short,2,3,-0.002278133062645793
Short,3,0,0.004603845998644829
Short,3,1,0.010351607576012611
Short,3,2,0.001165956724435091
Short,3,3,0.0017270243261009455
Film-Noir,0,0,0.001985953189432621
Film-Noir,0,1,0.017146779224276543
Film-Noir,0,2,-0.009767509065568447
Film-Noir,0,3,-0.0009629393462091684
Film-Noir,1,0,0.007402781862765551
Film-Noir,1,1,0.031427741050720215
Film-Noir,1,2,0.013867547735571861
Film-Noir,1,3,-0.010700922459363937
Film-Noir,2,0,0.007613690569996834
Film-Noir,2,1,0.0383891835808754
Film-Noir,2,2,0.022975705564022064
Film-Noir,2,3,0.0011420492082834244
Film-Noir,3,0,0.003123607486486435
Film-Noir,3,1,0.01998707838356495
Film-Noir,3,2,0.02055557258427143
Film-Noir,3,3,0.0034623839892446995
