genre,token,positive_sample_count,affected_samples,mean_probability_delta,mean_abs_probability_delta,mean_logit_delta
Short,he,26,11,0.0167023420961579,0.0170335200061593,0.11359728466380727
Short,is,36,21,0.015214783111549054,0.01742493174389806,0.22937399645646414
Short,to,64,23,0.01425941692524129,0.021878273996781387,0.129640299340953
Short,his,33,14,0.008413596386552464,0.030300304867523664,0.15663667236055648
Short,in,33,21,-0.006800198700494505,0.01375228792425159,-0.0003135431380498977
Short,with,17,13,-0.0011450009568272014,0.03244378164079255,0.20650205245384803
Film-Noir,the,227,31,-0.10913522896199508,0.10967912809795258,-0.8660773038864136
Film-Noir,of,91,29,-0.03218217531104591,0.03522275926740082,-0.2637593674248663
Film-Noir,his,79,25,0.014718189048580825,0.031620009313337506,0.18096015930175782
Film-Noir,and,124,29,-0.011311274399429687,0.033060275524239215,-0.19208609852297553
Film-Noir,in,83,29,-0.008951165572899957,0.019120388411434323,-0.09256328590985002
Film-Noir,to,155,28,0.002652609028668199,0.03327596539530272,0.19607238471508026
Film-Noir,he,59,23,-0.00217896549708277,0.009820420524074112,-0.04524711422298266
Film-Noir,with,53,23,-0.0016183765818941933,0.026029972143790117,-0.04354807604914126
Film-Noir,that,37,19,0.0010683897280614474,0.01522720823399332,-0.0834132056487234
Film-Noir,is,86,29,2.8260828975331166e-05,0.0177751355904861,-0.05200062949081947
