genre,token,count,mean_attribution,mean_abs_attribution
Drama,close,1,0.13907703757286072,0.13907703757286072
Drama,you,1,-0.13120022416114807,0.13120022416114807
Drama,gruff,1,0.12992659211158752,0.12992659211158752
Drama,knows,1,-0.12690779566764832,0.12690779566764832
Drama,/,2,0.12619702517986298,0.12619702517986298
Drama,exterior,1,0.12509791553020477,0.12509791553020477
Drama,N,1,0.12471224367618561,0.12471224367618561
Drama,yourself,1,0.12424420565366745,0.12424420565366745
Drama,wake,1,-0.12299373000860214,0.12299373000860214
Drama,',1,0.1193481981754303,0.1193481981754303
Drama,july,1,-0.11006839573383331,0.11006839573383331
Drama,!,1,-0.1083161011338234,0.1083161011338234
Drama,of,1,-0.07260037958621979,0.07260037958621979
Drama,continuing,1,-0.034982603043317795,0.034982603043317795
Drama,the,1,-0.0025927498936653137,0.0025927498936653137
Family,homes,2,-0.9006080627441406,0.9006080627441406
Family,stopped,2,0.9001001119613647,0.9001001119613647
Family,soon,2,-0.8858932852745056,0.8858932852745056
Family,starts,2,-0.7452025860548019,0.7452025860548019
Family,the,1,0.6944559812545776,0.6944559812545776
Family,outhouse,2,-0.6518233418464661,0.6518233418464661
Family,trip,2,0.6392003297805786,0.6392003297805786
Family,",",1,-0.6370391845703125,0.6370391845703125
Family,euphemism,2,0.634463369846344,0.634463369846344
Family,must,2,0.6079425662755966,0.6079425662755966
Family,because,2,-0.53521528840065,0.53521528840065
Family,wind,2,0.5037302523851395,0.5037302523851395
Family,gruesome,1,-0.38407886028289795,0.38407886028289795
Family,spooks,1,0.36214056611061096,0.36214056611061096
Fantasy,alien,2,2.0942548513412476,2.0942548513412476
Fantasy,crashes,2,1.987467885017395,1.987467885017395
Fantasy,earth,2,1.471595585346222,1.471595585346222
Fantasy,investigate,2,1.1655934154987335,1.1655934154987335
Fantasy,days,2,-0.9425961971282959,0.9425961971282959
Fantasy,scientists,2,0.7851898819208145,0.7851898819208145
Fantasy,meteorite,2,0.6422416865825653,0.6422416865825653
Fantasy,different,1,-0.5006603002548218,0.5006603002548218
Fantasy,period,2,-0.4925452470779419,0.4925452470779419
Fantasy,machine,1,0.4478272795677185,0.4478272795677185
Fantasy,giant,2,0.413448303937912,0.413448303937912
Fantasy,trying,1,0.3880307674407959,0.3880307674407959
Fantasy,and,1,0.3436553478240967,0.3436553478240967
Fantasy,noises,1,-0.29681992530822754,0.29681992530822754
Fantasy,appears,1,-0.23536886274814606,0.23536886274814606
History,war,2,3.9469574093818665,3.9469574093818665
History,battles,2,3.361133873462677,3.361133873462677
History,bandit,4,2.96834796667099,2.96834796667099
History,coors,2,2.4754695892333984,2.4754695892333984
History,elephant,1,2.331718921661377,2.331718921661377
History,country,2,2.0299190878868103,2.0299190878868103
History,infantry,2,1.5232935547828674,1.5232935547828674
History,soviet,2,1.4504428505897522,1.4504428505897522
History,of,4,1.2867446392774582,1.2867446392774582
History,N,4,1.2734511867165565,1.2734511867165565
History,most,2,1.221081793308258,1.221081793308258
History,transport,1,-1.1812766790390015,1.1812766790390015
History,texas,1,1.1283373832702637,1.1283373832702637
History,across,2,1.1010675728321075,1.1010675728321075
History,story,2,1.0308995842933655,1.0308995842933655
History,or,1,-1.0186313390731812,1.0186313390731812
History,less,2,-0.9917420148849487,0.9917420148849487
History,they,1,-0.739068865776062,0.739068865776062
History,against,1,-0.71751868724823,0.71751868724823
History,faced,1,-0.6984908580780029,0.6984908580780029
History,their,1,-0.5899874567985535,0.5899874567985535
History,the,3,-0.3467939893404643,0.5585866967837015
History,up,1,-0.4687784016132355,0.4687784016132355
History,.,1,-0.45353829860687256,0.45353829860687256
History,cases,1,-0.4522029757499695,0.4522029757499695
History,swedish,1,-0.40818122029304504,0.40818122029304504
History,continuation,1,0.34099841117858887,0.34099841117858887
Horror,investigation,2,2.136031597852707,2.136031597852707
Horror,detective,1,1.555774211883545,1.555774211883545
Horror,industry,2,-1.3575370907783508,1.3575370907783508
Horror,killer,3,1.3151189883550007,1.3151189883550007
Horror,professor,2,1.2658405005931854,1.2658405005931854
Horror,find,2,1.2487001419067383,1.2487001419067383
Horror,serial,1,1.2365972995758057,1.2365972995758057
Horror,phone,2,1.0101979970932007,1.0101979970932007
Horror,weird,2,0.9811782240867615,0.9811782240867615
Horror,girlfriend,2,0.9600680470466614,0.9600680470466614
Horror,charge,2,-0.8635295033454895,0.8635295033454895
Horror,suspect,1,-0.6559633016586304,0.6559633016586304
Horror,tries,1,0.5076944231987,0.5076944231987
Horror,succeeded,1,-0.48896145820617676,0.48896145820617676
Mystery,investigation,2,2.566365420818329,2.566365420818329
Mystery,industry,1,-1.6822466850280762,1.6822466850280762
Mystery,killer,4,1.1144100576639175,1.1144100576639175
Mystery,find,2,1.1104463934898376,1.1104463934898376
Mystery,charge,1,-1.0970985889434814,1.0970985889434814
Mystery,detective,2,1.0893454551696777,1.0893454551696777
Mystery,professor,2,1.0651150047779083,1.0651150047779083
Mystery,phone,2,1.0553972721099854,1.0553972721099854
Mystery,weird,2,1.0544589161872864,1.0544589161872864
Mystery,girlfriend,2,0.9673636555671692,0.9673636555671692
Mystery,serial,2,0.8910456299781799,0.8910456299781799
Mystery,call,1,0.4245116710662842,0.4245116710662842
Mystery,asking,1,0.423898845911026,0.423898845911026
Romance,love,2,1.4361459612846375,1.4361459612846375
Romance,power,2,-0.8668488264083862,0.8668488264083862
Romance,beliefs,2,0.5669603198766708,0.5669603198766708
Romance,how,2,-0.5402993559837341,0.5402993559837341
Romance,james,2,0.5379063487052917,0.5379063487052917
Romance,relaying,1,-0.4217723608016968,0.4217723608016968
Romance,officer,1,0.4125155806541443,0.4125155806541443
Romance,british,2,0.41043879091739655,0.41043879091739655
Romance,intellectual,1,0.40487515926361084,0.40487515926361084
Romance,unusual,1,-0.4004574716091156,0.4004574716091156
Romance,upbringing,2,-0.3647584021091461,0.3647584021091461
Romance,tyrannical,2,0.3268406242132187,0.3268406242132187
Romance,tommy,1,0.31777462363243103,0.31777462363243103
Romance,elderly,1,-0.2802310287952423,0.2802310287952423
Romance,american,1,-0.24988840520381927,0.24988840520381927
Romance,struggle,1,-0.2487487941980362,0.2487487941980362
Sci-Fi,alien,2,3.3035006523132324,3.3035006523132324
Sci-Fi,crashes,2,2.1355388164520264,2.1355388164520264
Sci-Fi,earth,2,1.7160686254501343,1.7160686254501343
Sci-Fi,investigate,2,1.6908957958221436,1.6908957958221436
Sci-Fi,days,2,-0.9546340703964233,0.9546340703964233
Sci-Fi,scientists,2,0.8716962337493896,0.8716962337493896
Sci-Fi,meteorite,2,0.6710732877254486,0.6710732877254486
Sci-Fi,giant,1,0.5708681344985962,0.5708681344985962
Sci-Fi,different,1,-0.5006603002548218,0.5006603002548218
Sci-Fi,machine,1,0.4478272795677185,0.4478272795677185
Sci-Fi,period,2,-0.4180762320756912,0.4180762320756912
Sci-Fi,mysterious,1,0.3515412211418152,0.3515412211418152
Sci-Fi,and,1,0.3436553478240967,0.3436553478240967
Sci-Fi,appears,1,0.28362613916397095,0.28362613916397095
Sci-Fi,",",1,-0.2795996069908142,0.2795996069908142
Sci-Fi,what,1,-0.250868558883667,0.250868558883667
Sport,coors,1,3.0290603637695312,3.0290603637695312
Sport,bandit,4,2.1624894738197327,2.1624894738197327
Sport,of,1,2.1354897022247314,2.1354897022247314
Sport,N,1,2.066995143890381,2.066995143890381
Sport,elephant,2,1.9539765119552612,1.9539765119552612
Sport,country,2,1.623805359005928,1.623805359005928
Sport,across,2,1.1721657812595367,1.1721657812595367
Sport,less,2,-1.0991108417510986,1.0991108417510986
Sport,texas,2,0.9923887848854065,0.9923887848854065
Sport,transport,2,-0.8174829930067062,0.8174829930067062
Sport,or,2,-0.7368575036525726,0.7368575036525726
Sport,the,1,0.45954659581184387,0.45954659581184387
Sport,make,1,0.4460621476173401,0.4460621476173401
Sport,.,1,0.35636067390441895,0.35636067390441895
Thriller,investigation,2,2.526883542537689,2.526883542537689
Thriller,find,1,1.6896744966506958,1.6896744966506958
Thriller,industry,1,-1.6822466850280762,1.6822466850280762
Thriller,professor,1,1.6643142700195312,1.6643142700195312
Thriller,serial,1,1.2365972995758057,1.2365972995758057
Thriller,detective,2,1.1483861804008484,1.1483861804008484
Thriller,charge,1,-1.0970985889434814,1.0970985889434814
Thriller,killer,4,1.0941817462444305,1.0941817462444305
Thriller,phone,2,1.0550014674663544,1.0550014674663544
Thriller,weird,2,1.053640902042389,1.053640902042389
Thriller,girlfriend,2,0.8896428942680359,0.8896428942680359
Thriller,asking,1,0.6547834277153015,0.6547834277153015
Thriller,call,1,0.5053970813751221,0.5053970813751221
Thriller,senseless,1,-0.47469401359558105,0.47469401359558105
Thriller,deletes,1,-0.422252893447876,0.422252893447876
Thriller,brandt,1,-0.38032639026641846,0.38032639026641846
War,war,4,5.859904646873474,5.859904646873474
War,battles,2,3.162517547607422,3.162517547607422
War,infantry,2,1.9481555819511414,1.9481555819511414
War,most,1,1.7075464725494385,1.7075464725494385
War,thriller,2,-1.6690219640731812,1.6690219640731812
War,soviet,2,1.5297908782958984,1.5297908782958984
War,suddenly,2,-1.1081839799880981,1.1081839799880981
War,leader,2,1.1080399751663208,1.1080399751663208
